img, IoU_img, TP, FP, FN, TN, accuracy, precision, recall, F1, TPR, FPR
batch_11/000001.jpg,0.851,2,4,1,1,0.375,0.333,0.667,0.444,0.667,0.8,
batch_11/000002.jpg,0.201,0,9,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000003.jpg,0.62,5,5,0,2,0.583,0.5,1.0,0.667,1.0,0.714,
batch_11/000004.jpg,0.506,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000005.jpg,0.577,0,3,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000006.jpg,0.457,4,12,0,1,0.294,0.25,1.0,0.4,1.0,0.923,
batch_11/000007.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000008.jpg,0.403,0,1,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000009.jpg,0.888,1,9,1,1,0.167,0.1,0.5,0.167,0.5,0.9,
batch_11/000010.jpg,0.398,5,12,0,1,0.333,0.294,1.0,0.455,1.0,0.923,
batch_11/000011.jpg,0.472,0,9,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000012.jpg,0.273,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000013.jpg,0.252,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000014.jpg,0.334,0,8,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000015.jpg,0.737,0,4,5,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000016.jpg,0.427,0,7,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000017.jpg,0.451,1,6,0,1,0.25,0.143,1.0,0.25,1.0,0.857,
batch_11/000018.jpg,0,0,1,7,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000019.jpg,0.453,0,1,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000020.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000021.jpg,0.293,1,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,
batch_11/000022.jpg,0.428,1,5,0,2,0.375,0.167,1.0,0.286,1.0,0.714,
batch_11/000023.jpg,0.307,1,3,0,1,0.4,0.25,1.0,0.4,1.0,0.75,
batch_11/000024.jpg,0.066,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000025.jpg,0.546,1,3,0,2,0.5,0.25,1.0,0.4,1.0,0.6,
batch_11/000026.jpg,0,0,1,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000027.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000028.jpg,0.548,10,11,1,2,0.5,0.476,0.909,0.625,0.909,0.846,
batch_11/000029.jpg,0.169,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000030.jpg,0.813,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000031.jpg,0.912,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_11/000032.jpg,0.057,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000033.jpg,0.872,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000034.jpg,0.495,1,1,0,1,0.667,0.5,1.0,0.667,1.0,0.5,
batch_11/000035.jpg,0.579,1,3,0,2,0.5,0.25,1.0,0.4,1.0,0.6,
batch_11/000036.jpg,0.647,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000037.jpg,0.237,0,6,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000038.jpg,0.467,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000039.jpg,0.093,0,3,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000040.jpg,0.718,3,3,1,2,0.556,0.5,0.75,0.6,0.75,0.6,
batch_11/000041.jpg,0.555,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000042.jpg,0.935,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000043.jpg,0.002,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000044.jpg,0.259,0,8,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000045.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000046.jpg,0.898,0,6,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000047.jpg,0.251,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000048.jpg,0.353,1,4,1,2,0.375,0.2,0.5,0.286,0.5,0.667,
batch_11/000049.jpg,0.925,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_11/000050.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000051.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000052.jpg,0.32,1,0,1,1,0.667,1.0,0.5,0.667,0.5,0.0,
batch_11/000053.jpg,0.76,1,4,1,1,0.286,0.2,0.5,0.286,0.5,0.8,
batch_11/000054.jpg,0.395,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000055.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000056.jpg,0.269,1,2,0,5,0.75,0.333,1.0,0.5,1.0,0.286,
batch_11/000057.jpg,0,1,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,
batch_11/000058.jpg,0.961,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000059.jpg,0.608,1,4,2,1,0.25,0.2,0.333,0.25,0.333,0.8,
batch_11/000060.jpg,0.913,1,2,1,1,0.4,0.333,0.5,0.4,0.5,0.667,
batch_11/000061.jpg,0.8,1,3,1,1,0.333,0.25,0.5,0.333,0.5,0.75,
batch_11/000062.jpg,0.519,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000063.jpg,0.772,2,1,3,3,0.556,0.667,0.4,0.5,0.4,0.25,
batch_11/000064.jpg,0.855,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000065.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000066.jpg,0.924,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000067.jpg,0,1,0,1,1,0.667,1.0,0.5,0.667,0.5,0.0,
batch_11/000068.jpg,0.29,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000069.jpg,0.733,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000070.jpg,0.795,1,1,1,3,0.667,0.5,0.5,0.5,0.5,0.25,
batch_11/000071.jpg,0.723,0,6,7,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000072.jpg,0.943,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000073.jpg,0.874,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,
batch_11/000074.jpg,0.687,0,7,9,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000075.jpg,0.785,2,0,3,3,0.625,1.0,0.4,0.571,0.4,0.0,
batch_11/000076.jpg,0.593,1,3,1,1,0.333,0.25,0.5,0.333,0.5,0.75,
batch_11/000077.jpg,0.937,1,2,1,2,0.5,0.333,0.5,0.4,0.5,0.5,
batch_11/000078.jpg,0.942,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000079.jpg,0.573,0,1,9,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000080.jpg,0.385,0,3,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000081.jpg,0.462,0,4,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000082.jpg,0.889,0,3,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000083.jpg,0.886,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_11/000084.jpg,0.357,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000085.jpg,0.502,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000086.jpg,0.388,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000087.jpg,0.891,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000088.jpg,0.914,0,1,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000089.jpg,0.319,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000090.jpg,0.81,0,3,2,0,0.0,0.0,0.0,0,0.0,1.0,
